,SONY,APPL,DELL,HPE,SAMSUNG,EorT,Period
0,0.6393067136348877,0.9139677422257949,0.9098456160205416,1.0926482517653393,0.3419769584495848,ETC,2019_2020
1,1.000000003849,0.9999999958000001,1.000000003286,1.0000000006749998,0.5895383797249689,EC,2019_2020
2,0.6393067111741961,0.9139677460644594,0.909845613030789,1.092648251027802,0.5800758189977787,TC,2019_2020
3,0.8164429373788556,0.9324191759357331,0.9298180749797368,1.0315355158507589,2.744528901778638,ETC,2020_2021
4,0.999999991707,0.9999999723999999,1.000000012731,0.9999999915280003,1.6962423755032192,EC,2020_2021
5,0.8164429441496169,0.9324192016705031,0.929818063142223,1.0315355245899274,1.6180051515128706,TC,2020_2021
6,1.0114002473096513,0.7305656297786167,0.8977642542293816,0.9934009816534477,0.9073310329920746,ETC,2021_2022
7,1.0000000176160002,1.000000034000001,0.9999999882200004,0.9999999934419999,1.0000000525170012,EC,2021_2022
8,1.0114002294928246,0.7305656049393854,0.8977642648050442,0.9934009881681716,0.9073309853417721,TC,2021_2022
9,0.0697340097962083,1.5322105361360847,0.8787184434887209,1.0349806088711757,0.9873971550590839,ETC,2022_2023
10,0.9999999969979998,1.0000000205999997,0.999999997298,0.9932820466044046,0.9999999655320009,EC,2022_2023
11,0.06973401000554981,1.5322105045725487,0.8787184458630181,1.041980585886275,0.9873971890926894,TC,2022_2023
